enrollee_id,city,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,target
28774,city_173,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,0.0
22616,city_71,Male,Has relevent experience,no_enrollment,Masters,STEM,15,500-999,Pvt Ltd,0.0
31087,city_61,Male,No relevent experience,Full time course,Graduate,STEM,6,10000+,Pvt Ltd,0.0
30610,city_94,Male,Has relevent experience,Part time course,Graduate,STEM,5,<10,Early Stage Startup,0.0
24644,city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
10550,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1.0
16071,city_128,Male,Has relevent experience,Part time course,Graduate,STEM,7,500-999,Pvt Ltd,1.0
26248,city_103,Male,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,0.0
26166,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,0.0
31482,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Early Stage Startup,0.0
19475,city_14,Male,Has relevent experience,no_enrollment,Masters,STEM,14,<10,Pvt Ltd,0.0
32730,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1.0
30816,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,500-999,Public Sector,0.0
30509,city_103,Male,Has relevent experience,no_enrollment,Graduate,Other,8,100-500,NGO,0.0
21033,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,0.0
13061,city_159,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10/49,Funded Startup,0.0
15650,city_26,Male,Has relevent experience,Part time course,Graduate,STEM,5,50-99,Pvt Ltd,0.0
32433,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,0.0
24091,city_123,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,Public Sector,1.0
25407,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
24289,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1.0
8584,city_16,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,100-500,Pvt Ltd,0.0
9394,city_128,Male,No relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,0.0
25201,city_10,Male,No relevent experience,Full time course,Graduate,STEM,6,10/49,Pvt Ltd,0.0
20117,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,0.0
7431,city_103,Male,Has relevent experience,no_enrollment,Graduate,Humanities,6,10/49,Pvt Ltd,1.0
3754,city_116,Male,Has relevent experience,no_enrollment,Masters,STEM,9,500-999,Pvt Ltd,0.0
2265,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,0.0
27081,city_114,Male,Has relevent experience,Full time course,Graduate,STEM,9,10/49,Pvt Ltd,0.0
26551,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,0.0
3913,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,50-99,Funded Startup,0.0
31736,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,0.0
14854,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,18,100-500,Pvt Ltd,0.0
26123,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,0.0
10225,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,0.0
9773,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,0.0
29399,city_160,Male,No relevent experience,no_enrollment,Graduate,Humanities,8,100-500,Pvt Ltd,0.0
29350,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,0.0
30097,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,0.0
22699,city_114,Male,No relevent experience,Full time course,Graduate,STEM,9,10000+,Pvt Ltd,0.0
13455,city_75,Male,Has relevent experience,no_enrollment,Graduate,Other,11,50-99,Pvt Ltd,0.0
